name,county,latitude,longitude
Bourbon,Douglas,39.4444,-88.2244
Bourbonnais,Kankakee,41.083,-87.523
Bowen,Hancock,40.14,-91.0345
Bowes,Kane,42.0029,-88.2327
Bowman,Jersey,39.0815,-90.144
Bowman Ford,Cumberland,39.1558,-88.0938
Boyd,Jefferson,38.2449,-89.0048
Boyd Ford,Coles,39.3638,-88.0415
Boyle,Greene,39.17,-90.3438
Boyleston,Wayne,38.2141,-88.2633
Boynton,Tazewell,40.2108,-89.2607
Braceville,Grundy,41.1337,-88.1553
Bradbury,Cumberland,39.1927,-88.1434
Braden,Hamilton,37.5947,-88.3658
Bradford,Stark,41.1038,-89.3927
Bradfordton,Sangamon,39.4924,-89.4422
Bradley,Kankakee,41.0831,-87.514
Braeside,Cook,42.0909,-87.462
Braeside,Lake,42.0909,-87.462
Braidwood,Will,41.1554,-88.1244
Breckenridge,Hancock,40.1437,-91.1711
Breckenridge,Sangamon,39.4156,-89.2651
Breeds,Fulton,40.3319,-89.5513
Breese,Clinton,38.3638,-89.3137
Bremen,Jo Daviess,42.2402,-90.2449
Bremen,Randolph,37.5816,-89.445
Brereton,Fulton,40.3639,-90.0133
Briar Bluff,Henry,41.2735,-90.2148
Bridgeport,Lawrence,38.4221,-87.4536
Bridgeview,Cook,41.45,-87.4815
Bridgeway Addition,Rock Island,41.2824,-90.3015
Briergate,Lake,42.1034,-87.4853
Brighton,Macoupin,39.0223,-90.0826
Brimfield,Peoria,40.502,-89.5311
Brisbane,Will,41.2933,-87.5728
Bristol,Kendall,41.4108,-88.2541
Broadlands,Champaign,39.5431,-87.5939
Broadmoor,Stark,41.0844,-89.3743
Broadview,Cook,41.515,-87.5112
Broadwell,Logan,40.0405,-89.2635
Brock Landing,Calhoun,38.5324,-90.3151
Brocton,Edgar,39.4256,-87.5557
Brokaw,Mclean,40.2704,-88.5409
Bronson,Vermilion,40.0654,-87.4819
Brookfield,Cook,41.4926,-87.5106
Brooklyn,St Clair,38.3931,-90.0957
Brooklyn,Schuyler,40.1333,-90.4547
Brookport,Massac,37.0725,-88.3749
Brooks,Madison,38.4627,-90.0524
Brookville,Ogle,42.0255,-89.4102
Brookville,Vermilion,40.0353,-87.3623
Brothers,Vermilion,40.084,-87.4831
Broughton,Hamilton,37.5605,-88.2743
Brownfield,Pope,37.2044,-88.3625
Browning,Schuyler,40.0744,-90.2219
Browns,Edwards,38.2237,-87.5859
Browns Crossing,Morgan,39.4326,-89.5902
Browns Crossing,Sangamon,39.4326,-89.5902
Browns Mill,Stephenson,42.1656,-89.3115
Brownstown,Fayette,38.5945,-88.571
Brownsville,White,38.0229,-88.1441
Brownton,Morgan,39.4549,-90.1128
Brownwood,Tazewell,40.2346,-89.2829
Brubaker,Marion,38.4135,-88.5235
Bruce,Moultrie,39.3108,-88.354
Brunkhorst Landing,Jackson,37.4154,-89.3105
Brussels,Calhoun,38.5658,-90.3519
Bryant,Fulton,40.2758,-90.053
Bryce,Iroquois,40.3804,-87.4524
Buckhart,Sangamon,39.4459,-89.2641
Buckhorn,Brown,39.5612,-90.5009
Buckhorn Corners,Stephenson,42.2529,-89.3818
Buckingham,Kankakee,41.0249,-88.1031
Buckley,Iroquois,40.3549,-88.0217
Buckner,Franklin,37.5859,-89.0058
Bucks,De Witt,40.1554,-88.5812
Bucktown,Vermilion,40.0648,-87.4441
Buda,Bureau,41.1934,-89.4044
Budd,Livingston,41.0556,-88.3723
Buena Vista,Saline,37.4418,-88.3434
Buena Vista,Stephenson,42.2532,-89.404
Buffalo,Sangamon,39.5109,-89.2431
