Chateaugay	Franklin	2,155	49.789	0.012	44.930509, -74.076284	3603313992	00978813
Chatham	Columbia	4,128	53.227	0.316	42.425582, -73.582076	3602114014	00978814
Chautauqua	Chautauqua	4,464	67.099	0.094	42.241757, -79.506691	3601314069	00978815
Chazy	Clinton	4,284	54.153	7.163	44.856518, -73.460741	3601914113	00978816
Cheektowaga	Erie	88,226	29.423	0.063	42.910021, -78.741821	3602915011	00978817
Chemung	Chemung	2,563	49.479	0.562	42.055631, -76.605721	3601515077	00978818
Chenango	Broome	11,252	33.834	0.434	42.215645, -75.902254	3600715110	00978819
Cherry Creek	Chautauqua	1,118	36.632	0.013	42.302111, -79.122244	3601315198	00978820
Cherry Valley	Otsego	1,223	40.375	0.007	42.808922, -74.722042	3607715253	00978821
Chester	Orange	11,981	25.049	0.151	41.330239, -74.276925	3607115308	00978822
Chester	Warren	3,355	84.190	2.860	43.689036, -73.873783	3611315319	00978823
Chesterfield	Essex	2,445	79.036	26.336	44.453432, -73.448719	3603115330	00978824
Chili	Monroe	28,625	39.499	0.369	43.085609, -77.745242	3605515462	00978825
Cicero	Onondaga	31,632	48.274	0.191	43.172142, -76.056249	3606715704	00978826
Cincinnatus	Cortland	1,056	25.356	0.129	42.530670, -75.913769	3602315748	00978827
Clare	St. Lawrence	105	96.557	0.698	44.356596, -75.013141	3608915792	00978828
Clarence	Erie	30,673	53.503	0.132	43.024707, -78.645674	3602915825	00978829
Clarendon	Orleans	3,648	35.219	0.000	43.174402, -78.056338	3607315880	00978830
Clarkson	Monroe	6,736	33.183	0.005	43.245062, -77.932451	3605515957	00978831
Clarkstown	Rockland	84,187	38.475	8.593	41.134184, -73.965733	3608715968	00978832
Clarksville	Allegany	1,161	36.276	0.020	42.140145, -78.247654	3600315990	00978833
Claverack	Columbia	6,021	47.559	0.390	42.218852, -73.689931	3602116045	00978834
Clay	Onondaga	58,206	47.958	0.901	43.178698, -76.192114	3606716067	00978835
Clayton	Jefferson	5,153	82.360	21.671	44.204326, -76.079717	3604516100	00978836
Clermont	Columbia	1,965	17.996	1.197	42.085945, -73.854682	3602116177	00978837
Clifton	St. Lawrence	751	134.361	15.985	44.201398, -74.885750	3608916287	00978838
Clifton Park	Saratoga	36,705	48.202	2.004	42.858993, -73.822974	3609116353	00978839
Clinton	Clinton	737	67.070	0.030	44.937659, -73.920213	3601916397	00978840
Clinton	Dutchess	4,312	38.143	0.642	41.864288, -73.819584	3602716408	00978841
Clymer	Chautauqua	1,698	36.070	0.093	42.049004, -79.582437	3601316595	00978842
Cobleskill	Schoharie	6,625	30.599	0.179	42.687506, -74.442157	3609516639	00978843
Cochecton	Sullivan	1,372	36.241	0.790	41.680039, -74.994190	3610516661	00978844
Coeymans	Albany	7,418	50.129	3.038	42.491282, -73.875102	3600116694	00978845
Cohocton	Steuben	2,561	56.083	0.007	42.519967, -77.481566	3610116738	00978846
Colchester	Delaware	2,077	136.778	5.398	42.039868, -74.953334	3602516793	00978848
Colden	Erie	3,265	35.633	0.089	42.648107, -78.646394	3602916870	00978849
Coldspring	Cattaraugus	663	51.464	0.554	42.055681, -78.844478	3600916903	00978850
Colesville	Broome	5,232	78.347	0.824	42.179510, -75.650430	3600717046	00978851
Collins	Erie	6,601	47.966	0.174	42.491800, -78.868516	3602917200	00978852
Colonie	Albany	81,591	55.943	1.900	42.743332, -73.785600	3600117343	00978853
Colton	St. Lawrence	1,451	241.702	13.252	44.368068, -74.814597	3608917409	00978854
