Dannemora	Clinton	3,936	1.148	0.000	44.720038, -73.718702	3619642	02391632		Dannemora & Saranac
Dansville	Livingston	4,719	2.608	0.000	42.562482, -77.696927	3619664	02391633		North Dansville & Sparta
Deferiet	Jefferson	294	0.650	0.082	44.036398, -75.681939	3619994	02391634		Wilna
Delanson	Schenectady	377	0.644	0.003	42.748142, -74.182375	3620082	02391635		Duanesburg
Delevan	Cattaraugus	1,089	0.994	0.000	42.491288, -78.479603	3620115	02391636		Yorkshire
Delhi	Delaware	3,087	3.142	0.050	42.278309, -74.914421	3620126	02391637		Delhi
Depew	Erie	15,303	5.074	0.000	42.911766, -78.704352	3620313	02391638		Cheektowaga & Lancaster
Deposit	Broome & Delaware	1,663	1.263	0.053	42.064176, -75.422919	3620346	02391639		Deposit & Sanford
Dering Harbor	Suffolk	11	0.246	0.013	41.092177, -72.341328	3620379	02391640		Shelter Island
DeRuyter	Madison	558	0.344	0.000	42.758526, -75.886743	3620390	02391641		DeRuyter
Dexter	Jefferson	1,052	0.692	0.063	44.011372, -76.042952	3620500	02391642		Brownville
Dobbs Ferry	Westchester	10,875	2.429	0.752	41.009994, -73.868618	3620698	02391643		Greenburgh
Dolgeville	Fulton & Herkimer	2,206	1.791	0.044	43.106695, -74.779974	3620731	02391644		Manheim & Oppenheim
Dresden	Yates	308	0.302	0.006	42.683928, -76.957046	3620896	02391645		Torrey
Dryden	Tompkins	1,890	1.756	0.014	42.490830, -76.301387	3620951	02391646		Dryden
Dundee	Yates	1,725	1.124	0.000	42.523728, -76.977306	3621050	02391647		Starkey
Earlville	Chenango & Madison	872	1.079	0.000	42.740080, -75.543605	3621523	02391648		Hamilton & Sherburne
East Aurora	Erie	6,236	2.512	0.011	42.766836, -78.617040	3621589	02391649		Aurora
East Hampton	Suffolk	1,083	4.764	0.138	40.951538, -72.196101	3622183	02391650		East Hampton
East Hills	Nassau	6,955	2.273	0.000	40.795822, -73.629223	3622260	02391651		North Hempstead & Oyster Bay
East Nassau	Rensselaer	587	4.863	0.009	42.538976, -73.504976	3622557	02391652		Nassau
East Rochester	Monroe	6,587	1.325	0.004	43.112210, -77.487176	3622865	02391654		East Rochester
East Rockaway	Nassau	9,818	1.017	0.014	40.643804, -73.667130	3622876	02391655		Hempstead
East Syracuse	Onondaga	3,084	1.622	0.000	43.063723, -76.069710	3623052	02391656		DeWitt
East Williston	Nassau	2,556	0.569	0.000	40.760850, -73.633607	3623217	02391657		North Hempstead
Elba	Genesee	676	1.017	0.000	43.076804, -78.188908	3623745	02391659		Elba
Elbridge	Onondaga	1,058	1.126	0.000	43.036650, -76.443282	3623789	02391660		Elbridge
Ellenville	Ulster	4,135	8.725	0.087	41.705109, -74.362230	3623965	02391661		Wawarsing
Ellicottville	Cattaraugus	376	0.820	0.014	42.274852, -78.672283	3624020	02391662		Ellicottville
Ellisburg	Jefferson	244	1.015	0.000	43.734958, -76.134589	3624075	02391663		Ellisburg
Elmira Heights	Chemung	4,097	1.146	0.000	42.126690, -76.825566	3624251	02391664		Elmira & Horseheads
Elmsford	Westchester	4,664	1.027	0.000	41.054134, -73.814335	3624295	02391665		Greenburgh
Endicott	Broome	13,392	3.194	0.004	42.097489, -76.063376	3624515	02391666		Union
Esperance	Schoharie	345	0.491	0.030	42.764633, -74.257392	3624713	02390828		Esperance
Evans Mills	Jefferson	621	0.829	0.000	44.087269, -75.807794	3624823	02390829		Le Ray
Fabius	Onondaga	352	0.398	0.000	42.834657, -75.984688	3624867	02390830		Fabius
Fair Haven	Cayuga	745	1.755	1.168	43.322040, -76.705181	3624988	02390831		Sterling
Fairport	Monroe	5,353	1.589	0.034	43.099319, -77.443018	3625076	02390832		Perinton
Falconer	Chautauqua	2,420	1.093	0.000	42.118984, -79.197272	3625164	02390833		Ellicott
Farmingdale	Nassau	8,189	1.121	0.000	40.732762, -73.446471	3625384	02390834		Oyster Bay
Farnham	Erie	382	1.207	0.000	42.595064, -79.080860	3625428	02390835		Brant
Fayetteville	Onondaga	4,373	1.746	0.000	43.032711, -75.997843	3625527	02390836		Manlius
Fishkill	Dutchess	2,171	0.820	0.004	41.533942, -73.892754	3625967	02390837		Fishkill
Fleischmanns	Delaware	351	0.655	0.015	42.154876, -74.534670	3626209	02390838		Middletown
Floral Park	Nassau	15,863	1.417	0.013	40.721952, -73.702824	3626264	02390839		Hempstead & North Hempstead
Florida	Orange	2,833	2.251	0.004	41.330641, -74.354202	3626319	02390840		Goshen & Warwick
Flower Hill	Nassau	4,665	1.618	0.000	40.807537, -73.675607	3626352	02390841		North Hempstead
Fonda	Montgomery	795	0.539	0.069	42.953398, -74.372893	3626462	02390842		Mohawk
Fort Ann	Washington	484	0.293	0.015	43.415615, -73.489820	3626704	02390844		Fort Ann
Fort Edward	Washington	3,375	1.756	0.180	43.268618, -73.582617	3626770	02390845		Fort Edward
Fort Johnson	Montgomery	490	0.737	0.109	42.958010, -74.236311	3626880	02390846		Amsterdam
Fort Plain	Montgomery	2,322	1.346	0.057	42.932658, -74.626799	3626924	02390847		Canajoharie & Minden
Frankfort	Herkimer	2,598	1.014	0.017	43.037753, -75.071582	3627188	02390848		Frankfort
Franklin	Delaware	374	0.339	0.007	42.344190, -75.166450	3627221	02390849		Franklin
Franklinville	Cattaraugus	1,740	1.100	0.000	42.334746, -78.454766	3627331	02390850		Franklinville
Fredonia	Chautauqua	11,230	5.189	0.000	42.440673, -79.331989	3627419	02390851		Pomfret
Freeport	Nassau	42,860	4.628	0.241	40.652407, -73.584993	3627485	02390852		Hempstead
Freeville	Tompkins	520	1.058	0.037	42.510538, -76.345995	3627529	02390853		Dryden
Fultonville	Montgomery	784	0.477	0.043	42.946330, -74.369740	3627859	02390854		Glen
Gainesville	Wyoming	229	0.856	0.000	42.641494, -78.134659	3627969	02390855		Gainesville
Galway	Saratoga	200	0.256	0.000	43.018516, -74.031838	3628101	02390856		Galway
Garden City	Nassau	22,371	5.330	0.025	40.725756, -73.645398	3628178	02390857		Hempstead & North Hempstead
Geneseo	Livingston	8,031	2.839	0.000	42.798993, -77.809558	3628618	02390858		Geneseo
Gilbertsville	Otsego	399	1.003	0.000	42.469331, -75.322609	3628959	02390859		Butternuts
Glen Park	Jefferson	502	0.708	0.024	44.003070, -75.958397	3629322	02390860		Brownville & Pamelia
Goshen	Orange	5,454	3.330	0.000	41.401689, -74.326813	3629542	02390861		Goshen
Gouverneur	St. Lawrence	3,949	2.191	0.087	44.336573, -75.466035	3629597	02390862		Gouverneur
Gowanda	Cattaraugus & Erie	2,709	1.593	0.016	42.460428, -78.934518	3629630	02390863		Collins & Persia
Grand View-on-Hudson	Rockland	285	0.176	0.000	41.066285, -73.921348	3629872	02390864		Orangetown
Granville	Washington	2,543	1.570	0.000	43.413423, -73.270621	3630026	02390865		Granville
Great Neck	Nassau	9,989	1.329	0.027	40.802368, -73.733099	3630169	02390866		North Hempstead
Great Neck Estates	Nassau	2,761	0.757	0.044	40.786721, -73.741879	3630191	02390867		North Hempstead
Great Neck Plaza	Nassau	6,707	0.312	0.000	40.786884, -73.726212	3630213	02390868		North Hempstead
Green Island	Albany	2,620	0.747	0.186	42.747870, -73.692595	3630521	02390869		Green Island
Greene	Chenango	1,580	1.068	0.038	42.330068, -75.767686	3630411	02390870		Greene
Greenport	Suffolk	2,197	0.956	0.249	41.102428, -72.366763	3630576	02390871		Southold
Greenwich	Washington	1,777	1.477	0.000	43.086497, -73.496773	3630675	02390872		Easton & Greenwich
Greenwood Lake	Orange	3,154	2.048	0.424	41.222058, -74.290390	3630752	02390873		Warwick
Groton	Tompkins	2,363	1.738	0.000	42.583430, -76.359860	3630961	02390874		Groton
Hagaman	Montgomery	1,292	1.498	0.046	42.970732, -74.159793	3631291	02390875		Amsterdam
Hamburg	Erie	9,409	2.486	0.000	42.723395, -78.834867	3631643	02390876		Hamburg
Hamilton	Madison	4,239	2.486	0.192	42.828457, -75.553015	3631709	02390877		Eaton, Hamilton & Madison
Hammond	St. Lawrence	280	0.586	0.000	44.446385, -75.693499	3631830	02390878		Hammond
Hammondsport	Steuben	661	0.345	0.020	42.408740, -77.222858	3631852	02390879		Urbana
Hancock	Delaware	1,031	1.502	0.141	41.952526, -75.283402	3631940	02390880		Hancock
Hannibal	Oswego	555	1.152	0.000	43.319437, -76.577742	3632017	02390881		Hannibal
Harriman	Orange	2,424	1.004	0.018	41.309014, -74.144033	3632325	02390882		Monroe & Woodbury
Harrison	Westchester	27,472	16.766	0.603	41.026444, -73.723707	3632402	02390883		Harrison
Hastings-on-Hudson	Westchester	7,849	1.952	0.961	40.988041, -73.881236	3632710	02390885		Greenburgh
Haverstraw	Rockland	11,910	1.980	3.057	41.178245, -73.943331	3632754	02390886		Haverstraw
Head of the Harbor	Suffolk	1,472	2.807	0.228	40.897660, -73.161538	3632963	02390887		Smithtown
Hempstead	Nassau	53,891	3.682	0.005	40.704374, -73.619445	3633139	02390888		Hempstead
Herkimer	Herkimer	7,743	2.588	0.115	43.028078, -74.993306	3634121	02390889		Herkimer
Heuvelton	St. Lawrence	714	0.761	0.107	44.617085, -75.404171	3634264	02390892		Oswegatchie
Hewlett Bay Park	Nassau	404	0.337	0.022	40.635120, -73.695824	3634297	02390893		Hempstead
Hewlett Harbor	Nassau	1,263	0.726	0.104	40.632682, -73.684848	3634308	02390894		Hempstead
Hewlett Neck	Nassau	445	0.193	0.021	40.624763, -73.697082	3634319	02390895		Hempstead
Highland Falls	Orange	3,900	1.090	0.009	41.364565, -73.968924	3634495	02390896		Highlands
Hillburn	Rockland	951	2.251	0.018	41.127584, -74.170333	3634660	02390897		Ramapo
Hilton	Monroe	5,886	1.780	0.000	43.289941, -77.792595	3634847	02390898		Parma
Hobart	Delaware	441	0.498	0.007	42.372156, -74.668541	3634979	02390899		Stamford
Holland Patent	Oneida	458	0.506	0.002	43.241145, -75.256571	3635144	02390900		Trenton
Holley	Orleans	1,811	1.268	0.000	43.224657, -78.029194	3635155	02390901		Murray
Homer	Cortland	3,291	1.925	0.013	42.637233, -76.185377	3635276	02390902		Cortlandville & Homer
Honeoye Falls	Monroe	2,674	2.543	0.052	42.954674, -77.591110	3635364	02390903		Mendon
Hoosick Falls	Rensselaer	3,501	1.598	0.000	42.900907, -73.349968	3635474	02390904		Hoosick
Horseheads	Chemung	6,461	3.887	0.015	42.168632, -76.829658	3635694	02390905		Horseheads
Hudson Falls	Washington	7,281	1.832	0.058	43.304735, -73.581587	3635980	02390906		Kingsbury
Hunter	Greene	502	1.735	0.032	42.210532, -74.215431	3636167	02390907		Hunter
Huntington Bay	Suffolk	1,425	0.998	0.897	40.903556, -73.412127	3637022	02390908		Huntington
Ilion	Herkimer	8,053	2.493	0.059	43.011267, -75.039645	3637275	02390909		Frankfort & German Flatts
Interlaken	Seneca	602	0.267	0.000	42.618478, -76.724677	3637528	02390910		Covert
Irvington	Westchester	6,420	2.773	1.290	41.034258, -73.867028	3637803	02390911		Greenburgh
Island Park	Nassau	4,655	0.445	0.000	40.605334, -73.655440	3637847	02390912		Hempstead
Islandia	Suffolk	3,335	2.220	0.000	40.806845, -73.171056	3637840	02390913		Islip
Jeffersonville	Sullivan	359	0.405	0.033	41.777521, -74.925853	3638506	02390914		Callicoon
Johnson City	Broome	15,174	4.536	0.099	42.125288, -75.963406	3638748	02390915		Union
Jordan	Onondaga	1,368	1.146	0.000	43.067088, -76.472868	3638825	02390916		Elbridge
Kaser	Rockland	4,724	0.172	0.000	41.121233, -74.068583	3638934	02390917		Ramapo
